Grantor,Grantee,Program,Start,Stop,Amount,Funding Source
City of San Marcos,Alliance for Regional Solutions,Winter Services,11/14/18,06/30/23,125000,Fiscal Year 2020-21
City of Chula Vista,Alpha Project,CV - Transitional Employment Services,12/07/21,12/07/23,100000,ARPA
City of Chula Vista,Alpha Project,Take Back the Streets,06/01/21,06/30/22,30000,CDBG
City of Vista,Alpha Project ,Homelessness Services,07/01/19,06/30/21,50000,CDBG
City of Escondido,Interfaith Community Services,Alliance for Regional Solutions,07/01/18,06/30/20,15000,CDBG
City of Lemon Grove,Home Start,Outreach Services,07/13/18,01/20/22,30000,nan
City of El Cajon,Crisis House,Improved Fencing at 1034 N. Magnolia Facility,07/01/18,06/30/19,192525,CDBG
City of El Cajon,Crisis House,HVAC Replacements,07/01/19,06/30/20,485000,CDBG
City of Santee,Crisis House,Prevention Programs,09/04/20,06/30/21,6852,CDBG
City of Santee,Crisis House,CV - Rapid Rehousing Services,12/31/20,07/30/21,15000,CDBG-CV
City of Santee,Crisis House,Domestic Violence Services,11/19/21,06/30/22,66600,CDBG
City of Santee,Crisis House,Prevention Services,7/1/18,06/30/19,5000,CDBG
City of Santee,Crisis House,Prevention Services,7/1/17,06/30/20,5000,CDBG
City of Santee,Crisis House,Prevention Programs,7/1/17,06/30/20,5200,CDBG
California Department of General Services,City of La Mesa,Permanent Local Housing Allocation ,06/30/2030,06/30/2030,188809,PLHA
City of Santee,East County Chamber of Commerce Foundation,CV - Rapid Rehousing Services,03/22/21,07/30/21,50000,CDBG-CV
City of El Cajon,East County Transitional Living Center,Emergency Shelter,05/13/20,06/30/21,185294,CDBG-CV
City of El Cajon,East County Transitional Living Center,Railing Replacement,07/01/18,06/30/21,25000,CDBG
City of El Cajon,East County Transitional Living Center,Security Fencing,07/01/19,06/30/21,25000,CDBG
City of Chula Vista,Family Health Centers of San Diego,2021-2022 Mobile Medical Unit,06/01/21,06/30/22,23000,CDBG
City of Carlsbad,Urban Corps of San Diego,Abandon Items and Litter Removal Services,09/17/18,09/15/20,199000,City Budget
City of La Mesa,Home Start Inc.,CV - Permanent Supportive Housing Services,10/1/21,09/30/22,338000,CDBG-CV
City of El Cajon,Home Start,CV-Outreach Support Services,06/01/22,03/31/23,155000,CDBG-CV
City of El Cajon,Home Start,Motel Voucher Program,05/13/20,06/30/21,45000,CDBG-CV
City of La Mesa,Home Start,Rental Assistance ,12/04/20,12/04/22,75000,nan
City of El Cajon,Home Start,Outreach Services,09/01/20,08/31/21,200000,LMIHAF
City of Santee,Home Start Inc,CV - Rental Assistance,12/31/20,07/30/21,168976,CDBG-CV
City of Encinitas,Interfaith Community Services,CV - Emergency Shelter ,07/01/21,06/30/22,30000,CDBG-CV
City of Escondido ,Interfaith Community Services ,Quarantined Entry into Emergency Shelter,12/16/20,12/30/21,552803,ESG-CV
City of El Cajon,Interfaith Shelter Network of San Diego,Rotational Emergency Shelter Program,07/01/20,06/30/21,30000,CDBG
City of Escondido ,Interfaith Community Services ,Outreach Services,07/01/21,06/30/22,78335,ESG-CV
City of Santee,Interfaith Shelter Network of San Diego,CV - Tenantship and Rooming House Subsidy Services,12/31/20,07/30/21,168976,CDBG-CV
City of Carlsbad,Interfaith Community Services,Outreach and Case Management Services,07/01/20,06/30/21,31242,nan
City of Carlsbad,Interfaith Community Services ,Case Management Services,07/01/19,06/30/20,244944,nan
City of Carlsbad,Interfaith Community Services,CV - Assertive Community Treatment Services,07/07/20,06/30/21,598772,CDBG
City of Chula Vista,Jacobs & Cushman San Diego Food Bank ,Food 4 Kids Backpack Program,06/01/21,06/30/22,50000,CDBG
City of Chula Vista,Jacobs and Cushman San Diego Food Bank,CV - Food Services,11/16/21,11/16/22,5743525,ARPA
City of Carlsbad,Legal Aid Society of San Diego,Basic Services ,07/01/18,06/30/19,20550,CDBG
City of National City,McAlister Institute for Treatment & Education Inc.,Case Management Services,07/01/21,06/30/22,3132,nan
City of Chula Vista,McAlister Institute for Treatment and Education Inc.,Work For Hope,06/01/21,06/30/22,203986,CDBG
City of Carlsbad,Meals on Wheels,Outreach Services ,07/20/18,06/30/20,10 000,CDBG
City of Vista,North County Lifeline,Rental Assitance,07/01/20,06/30/22,255000,CDBG-CV
City of Vista,Operation Hope,CV - Emergency Shelter Services,07/01/19,06/30/20,2998,CDBG
City of La Mesa,People Assisting the Homeless ,CV - Outreach Services ,11/21/20,10/31/21,262416,CDBG-CV
City of Carlsbad,Rocket Johns Inc.,Porta Potty Rental and Services,06/01/17,06/01/21,200000,nan
City of Del Mar,San Diego Regional Task Force on the Homeless,Services,07/01/21,06/30/23,4000,Community Support Program
