EIN_YEAR,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
113723093_2020.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2020.0,92123,0,0,0,0,17841834,183535,0,18025369
113723093_2019.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2019.0,92123,0,0,0,0,9344677,182239,0,9526916
113723093_2018.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2018.0,92123,0,0,0,0,2505451,865020,0,3370471
113723093_2017.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017.0,92123,0,0,0,0,2021667,738875,0,2760542
113723093_2016.0,Regional Task Force on the Homeless,113723093,2016.0,92123,0,6677,0,0,1922156,65214,0,1994047
113723093_2015.0,Regional Task Force on the Homeless,113723093,2015.0,92123,0,0,0,0,1110060,47330,0,1157390
113723093_2014.0,Regional Task Force on the Homeless Inc,113723093,2014.0,92123,0,0,0,0,991765,94796,0,1086561
237279074_2021.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2021.0,92102,170,0,44349,0,0,595309,53487,639828
237279074_2020.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2020.0,92102,216,0,77662,0,33272,524550,0,635700
237279074_2019.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2019.0,92102,56,0,0,0,0,561746,0,561802
237279074_2018.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2018.0,92102,387,0,134109,0,0,299784,0,434280
237279074_2017.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2017.0,92102,219,0,123225,0,0,443582,0,567026
237279074_2016.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2016.0,92102,777,0,118088,0,0,378054,0,496919
237279074_2015.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2015.0,92102,1083,0,120006,0,0,282200,0,403289
237279074_2014.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2014.0,92102,752,0,108729,0,0,254538,0,364019
237279074_2013.0,UNION OF PAN ASIAN COMMUNITIES,237279074,2013.0,0,3256,0,0,0,0,301674,0,304930
237334012_2020.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2020.0,92112,9190,0,0,0,11606920,4238141,0,15854251
237334012_2019.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2019.0,92112,21301,0,0,0,7876775,2735170,0,10633246
237334012_2018.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2018.0,92112,50794,0,5748,0,7519954,2379161,0,9955657
237334012_2017.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2017.0,92112,91200,0,28745,0,0,2116667,0,2236612
237334012_2016.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2016.0,92112,77085,0,53000,0,0,1952123,0,2082208
237334012_2015.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2015.0,92101,121494,0,57035,0,0,2955261,0,3133790
237334012_2014.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2014.0,92101,120174,0,143749,0,0,1755127,0,2019050
237334012_2013.0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2013.0,0,116799,0,196830,0,0,1845723,0,2159352
261712580_2022.0,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2022.0,92112,0,0,0,0,0,7171594,0,7171594
261712580_2021.0,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2021.0,92112,0,0,72165,0,0,4616925,0,4689090
261712580_2020.0,Equality Alliance of San Diego County,261712580,2020.0,92112,0,5050,0,0,242800,4179440,0,4427290
261712580_2019.0,Equality Alliance of San Diego County,261712580,2019.0,92112,0,9365,0,0,0,1800844,0,1810209
261712580_2018.0,Equality Alliance of San Diego County,261712580,2018.0,92112,0,9375,0,0,0,2631980,0,2641355
261712580_2017.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2017.0,92112,0,0,0,0,0,1624468,0,1624468
261712580_2016.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2016.0,92112,0,0,0,0,0,2424704,0,2424704
261712580_2015.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2015.0,92112,0,0,0,0,0,1236342,0,1236342
261712580_2014.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2014.0,92112,0,0,0,0,0,1558845,0,1558845
261712580_2013.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2013.0,0,0,4050,0,0,0,1294766,0,1298816
330006089_2021.0,Deaf Community Services of San Diego Inc,330006089,2021.0,92108,1801,0,0,0,1870912,70092,0,1942805
330006089_2020.0,Deaf Community Services of San Diego Inc,330006089,2020.0,92108,1980,0,0,0,1942352,134573,0,2078905
330006089_2019.0,Deaf Community Services of San Diego Inc,330006089,2019.0,92108,2787,0,0,0,2656426,144693,0,2803906
330006089_2018.0,Deaf Community Services of San Diego Inc,330006089,2018.0,92108,3178,0,34205,0,2111657,165828,0,2314868
330006089_2017.0,Deaf Community Services of San Diego Inc,330006089,2017.0,92108,2240,0,0,0,1438267,124495,0,1565002
