ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,"All Other Contributions gifts, grants and similar amounts not included above",Noncash constributions included in lines 1a - 1f,Total ,Type,,,,EIN_YEAR
Regional Task Force on the Homeless,113723093,2015,,92123,0,0,0,0,1110060,47330,0,1157390,A,1157390,TRUE,0,113723093_2015
Regional Task Force on the Homeless,113723093,2016,,92123,0,6677,0,0,1922156,65214,0,1994047,A,1994047,TRUE,0,113723093_2016
Regional Task Force on the Homeless,113723093,2018,,92123,0,0,0,0,2505451,865020,0,3370471,A,3370471,TRUE,0,113723093_2018
Regional Task Force on the Homeless,113723093,2019,,92123,0,0,0,0,9344677,182239,0,9526916,A,9526916,TRUE,0,113723093_2019
Regional Task Force on the Homeless,113723093,2020,,92123,0,0,0,0,17841834,183535,0,18025369,A,18025369,TRUE,0,113723093_2020
Union of Pan Asian Communities ,237279074,2015,,92102,1083,0,120006,0,0,282200,0,403289,A,403289,TRUE,0,237279074_2015
Union of Pan Asian Communities ,237279074,2016,,92102,777,0,118088,0,0,378054,0,496919,A,496919,TRUE,0,237279074_2016
Union of Pan Asian Communities ,237279074,2017,,92102,219,0,123225,0,0,443582,0,567026,A,567026,TRUE,0,237279074_2017
Union of Pan Asian Communities ,237279074,2018,,92102,387,0,134109,0,0,299784,0,434280,A,434280,TRUE,0,237279074_2018
Union of Pan Asian Communities ,237279074,2019,,92102,56,0,r,0,0,561746,0,561802,A,561802,TRUE,0,237279074_2019
Catholic Charities Diocese of San Diego,237334012,2015,,92101,121494,0,57035,0,0,2955261,0,3133790,A,3133790,TRUE,0,237334012_2015
Catholic Charities Diocese of San Diego,237334012,2016,,92112,77085,0,53000,0,0,1952123,0,2082208,A,2082208,TRUE,0,237334012_2016
Catholic Charities Diocese of San Diego,237334012,2017,,92112,91200,0,28745,0,0,2116667,0,2236612,A,2236612,TRUE,0,237334012_2017
Catholic Charities Diocese of San Diego,237334012,2018,,92112,50794,0,5748,0,7519954,2379161,0,9955657,A,9955657,TRUE,0,237334012_2018
Catholic Charities Diocese of San Diego,237334012,2019,,92112,21301,0,0,0,7876775,2735170,0,10633246,A,10633246,TRUE,0,237334012_2019
Catholic Charities Diocese of San Diego,237334012,2020,,92112,9190,0,0,0,11606920,4238141,0,15854251,,15854251,TRUE,0,237334012_2020
Equality Alliance of San Diego County,261712580,2015,,92112,0,0,0,0,0,1236242,0,1236242,A,1236242,TRUE,0,261712580_2015
Equality Alliance of San Diego County,261712580,2016,,92112,0,0,0,0,0,2424704,0,2424704,A,2424704,TRUE,0,261712580_2016
Equality Alliance of San Diego County,261712580,2017,,92112,0,0,0,0,0,1624468,0,1624468,A,1624468,TRUE,0,261712580_2017
Equality Alliance of San Diego County,261712580,2018,,92112,0,9375,0,0,0,2631980,0,2641355,A,2641355,TRUE,0,261712580_2018
Equality Alliance of San Diego County,261712580,2019,,92112,0,9365,0,0,0,1800844,0,1810209,A,1810209,TRUE,0,261712580_2019
Equality Alliance of San Diego County,261712580,2020,,92112,0,5050,0,0,242800,4179440,0,4427290,A,4427290,TRUE,0,261712580_2020
Deaf Community Services of San Diego,330006089,2015,6-30-2016,92108,3270,0,0,0,1329774,61532,0,1394576,A,1394576,TRUE,0,330006089_2015
Deaf Community Services of San Diego,330006089,2017,,92108,2240,0,0,0,1438267,124495,0,1565002,A,1565002,TRUE,0,330006089_2017
Deaf Community Services of San Diego,330006089,2018,,92108,3178,0,34205,0,2111657,165828,0,2314868,A,2314868,TRUE,0,330006089_2018
Deaf Community Services of San Diego,330006089,2019,,92108,2787,0,0,0,2656426,144693,0,2803906,A,2803906,TRUE,0,330006089_2019
Alpha Project,330215585,2015,,92103,0,0,0,0,2827016,2417961,1086372,5244977,A,5244977,TRUE,0,330215585_2015
Alpha Project,330215585,2016,,92103,0,0,0,0,1251303,6178785,1876303,7430088,A,7430088,TRUE,0,330215585_2016
Alpha Project,330215585,2017,,92103,0,0,0,0,1972019,8974475,1744782,10946494,A,10946494,TRUE,0,330215585_2017
Alpha Project,330215585,2018,,92103,0,0,0,0,2476001,14101032,1757375,16577033,A,16577033,TRUE,0,330215585_2018
Alpha Project,330215585,2019,,92103,0,0,47749,0,15957289,10930710,1540175,26935748,A,26935748,TRUE,0,330215585_2019
Alpha Project,330215585,2020,,92103,0,0,145859,0,18162046,3338814,1199956,21646719,,21646719,TRUE,0,330215585_2020
Community Housing Works,330317950,2015,,92108,0,0,0,0,2257896,1355637,0,3613533,A,3613533,TRUE,0,330317950_2015
Community Housing Works,330317950,2016,,92108,0,0,178333,0,910318,501953,0,1590604,A,1590604,TRUE,0,330317950_2016
Community Housing Works,330317950,2018,,92108,0,0,0,0,5739760,988317,0,6728077,A,6728077,TRUE,0,330317950_2018
Community Housing Works,330317950,2019,,92108,0,0,0,2915400,1426417,944973,0,5286790,A,5286790,TRUE,0,330317950_2019
National Conflict Resolution Center,330433314,2016,6-30-2017,92101,0,0,0,0,806892,1300903,0,2107795,A,2107795,TRUE,0,330433314_2016
National Conflict Resolution Center,330433314,2015,6-30-2016,92101,0,0,0,0,851714,1076360,0,1928074,A,1928074,TRUE,0,330433314_2015
National Conflict Resolution Center,330433314,2017,6-30-2018,92101,0,0,0,0,1514007,1231820,0,2745827,A,2745827,TRUE,0,330433314_2017
National Conflict Resolution Center,330433314,2018,6-30-2019,92101,0,0,0,0,1265617,1689439,0,2955056,A,2955056,TRUE,0,330433314_2018
National Conflict Resolution Center,330433314,2019,6-30-2020,92101,0,0,0,0,1178817,986074,0,2164891,A,2164891,TRUE,0,330433314_2019
Father Joe's Villages,330492304,2015,12-31-2015,921023332,0,0,0,0,560794,2189344,2070609,2750138,A,2750138,TRUE,0,330492304_2015
Father Joe's Villages,330492304,2016,12-31-2016,921023332,0,0,0,0,242055,2887758,2649029,3129813,A,3129813,TRUE,0,330492304_2016
Father Joe's Villages,330492304,2017,12-31-2017,921023332,0,0,0,0,279676,6295355,5923230,6575031,A,6575031,TRUE,0,330492304_2017
Father Joe's Villages,330492304,2018,12-31-2018,921023332,0,0,0,0,102020,2137155,2067214,2239175,A,2239175,TRUE,0,330492304_2018
Father Joe's Villages,330492304,2019,12-31-2019,921023332,0,0,0,0,578517,15544341,5811788,16122858,A,16122858,TRUE,0,330492304_2019
Father Joe's Villages,330492304,2021,,921023332,0,0,670548,0,24605978,27317674,2854659,52594200,,52594200,TRUE,0,
Community Health Imporvement Partners,330496092,2015,,92123,0,0,74326,0,1470129,338135,0,1882590,A,1882590,TRUE,0,330496092_2015
Community Health Imporvement Partners,330496092,2016,,92123,0,0,82700,0,1528859,1256636,0,2868195,A,2868195,TRUE,0,330496092_2016
Community Health Imporvement Partners,330496092,2018,,92123,0,0,0,0,2193360,231560,0,2424920,A,2424920,TRUE,0,330496092_2018
Community Health Imporvement Partners,330496092,2019,,92123,0,0,0,0,1970684,262742,0,2233426,A,2233426,TRUE,0,330496092_2019
Townspeople,330623634,2016,,92103,0,0,0,0,732642,14274,0,746916,A,746916,TRUE,0,330623634_2016
Townspeople,330623634,2017,,92103,0,0,0,0,685289,18984,3430,704273,A,704273,TRUE,0,330623634_2017
Townspeople,330623634,2018,,92103,0,0,0,0,830118,128187,0,958305,A,958305,TRUE,0,330623634_2018
Townspeople,330623634,2019,,92103,0,0,0,0,1043179,25747,0,1068926,A,1068926,TRUE,0,330623634_2019
Townspeople,330623634,2021,,92104,0,0,0,0,1404789,301693,0,1706482,,1706482,TRUE,0,330623634_2021
211 San Diego,331029843,2015,6-30-2016,92142,0,0,148000,0,0,1442396,20500,1590396,A,1590396,TRUE,0,331029843_2015
211 San Diego,331029843,2017,6-30-2018,92142,68432,0,0,0,0,1291416,0,1359848,A,1359848,TRUE,0,331029843_2017
211 San Diego,331029843,2018,6-30-2019,92142,5422,0,0,0,0,1437951,0,1443373,A,1443373,TRUE,0,331029843_2018
211 San Diego,331029843,2019,6-30-2020,92142,67806,0,167628,0,0,585432,0,820866,A,820866,TRUE,0,331029843_2019
Think Dignity,331146733,2016,,92104,0,3445,20231,0,121084,114551,11272,259311,A,259311,TRUE,0,331146733_2016
Think Dignity,331146733,2017,,92104,0,4925,15100,0,106172,255771,0,381968,A,381968,TRUE,0,331146733_2017
Think Dignity,331146733,2018,,92104,0,0,33682,0,114747,324226,25426,472655,A,472655,TRUE,0,331146733_2018
Think Dignity,331146733,2019,,92104,0,0,48628,0,129001,125440,43807,303069,A,303069,TRUE,0,331146733_2019
Urban Street Angels,465055513,2016,12-31-2016,92101,0,0,41551,0,155681,100940,0,298172,A,298172,TRUE,0,465055513_2016
Urban Street Angels,465055513,2017,12-31-2017,92101,0,0,31109,0,26250,349708,0,407067,A,407067,TRUE,0,465055513_2017
Urban Street Angels,465055513,2018,,92101,0,0,24381,0,713895,112174,0,850450,A,850450,TRUE,0,465055513_2018
Urban Street Angels,465055513,2019,,92101,0,0,0,0,1597401,414072,0,2011473,A,2011473,TRUE,0,465055513_2019
Urban Street Angels,465055513,2020,,92101,0,0,0,0,2397198,225223,0,2622421,,2622421,TRUE,0,465055513_2020
