EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
952794253_2021,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253,2021,06-30-2022,92084,0,0,0,0,13405575,451714,223226,13857289,451714
952794253_2020,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253,2020,06-30-2021,92056,0,0,0,0,13098737,679469,189639,13778206,679469
952794253_2019,NORTH COUNTY LIFELINE INC,952794253,2019,06-30-2020,92056,0,0,0,0,12446965,392396,251569,12839361,392396
952794253_2018,NORTH COUNTY LIFELINE INC,952794253,2018,06-30-2019,92056,0,0,0,0,10496439,353245,235480,10849684,353245
952794253_2017,NORTH COUNTY LIFELINE INC,952794253,2017,06-30-2018,92056,0,0,0,0,9738384,287018,207107,10025402,287018
952794253_2016,NORTH COUNTY LIFELINE INC,952794253,2016,06-30-2017,92056,0,0,0,0,7910489,269310,107107,8179799,269310
952794253_2015,NORTH COUNTY LIFELINE INC,952794253,2015,06-30-2016,92056,0,0,0,0,7008292,156226,71467,7164518,156226
952794253_2014,NORTH COUNTY LIFELINE INC,952794253,2014,06-30-2015,92056,0,0,0,0,6666125,112730,70794,6778855,112730
330602842_2021,THE ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842,2021,12-31-2021,92123,0,0,0,0,1659718,27280,0,1686998,27280
330602842_2020,TACHS,330602842,2020,12-31-2020,92123,0,0,0,0,1598008,25316,0,1623324,25316
204374795_2021,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2021,06-30-2022,92121,0,0,349596,0,6327592,87887254,58312927,94564442,88236850
204374795_2020,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2020,06-30-2021,92121,0,0,251384,0,10838132,113522301,80913471,124611817,113773685
204374795_2019,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2019,06-30-2020,92121,0,0,103012,0,5257407,75773240,58281891,81133659,75876252
204374795_2018,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2018,06-30-2019,92121,0,0,316076,0,2593934,48722765,41159936,51632775,49038841
204374795_2017,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2017,06-30-2018,92121,0,0,191553,0,2106601,41309129,35087496,43607283,41500682
204374795_2016,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2016,06-30-2017,92121,0,0,154260,0,1623355,38415684,31883433,40193299,38569944
204374795_2015,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2015,06-30-2016,92121,0,0,117922,0,2175671,31097166,25686164,33390759,31215088
204374795_2014,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2014,06-30-2015,92121,0,0,143289,0,8567254,24065867,25032864,32776410,24209156
204374795_2013,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2013,06-30-2014,0,0,0,131556,0,2230566,30090121,25346991,32452243,30221677
952949636_2020,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2020,06-30-2021,92127,0,0,0,0,0,158572,0,158572,158572
952949636_2019,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2019,06-30-2020,92127,0,0,0,0,132432,0,0,132432,0
952949636_2018,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2018,06-30-2019,92127,0,0,0,0,161530,0,0,161530,0
952949636_2017,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2017,06-30-2018,92127,0,0,0,0,139382,0,0,139382,0
952949636_2016,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2016,06-30-2017,92127,0,0,0,0,141447,0,0,141447,0
952949636_2015,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2015,06-30-2016,92127,0,0,0,0,320264,0,0,320264,0
952949636_2014,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2014,06-30-2015,92127,0,0,0,0,433182,0,0,433182,0
953750738_2020,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2020,09-30-2021,92127,0,0,0,0,0,0,0,0,0
953750738_2019,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2019,09-30-2020,92127,0,0,0,0,0,0,0,0,0
953750738_2018,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2018,09-30-2019,92127,0,0,0,0,54330,0,0,54330,0
953750738_2017,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2017,09-30-2018,92127,0,0,0,0,56517,0,0,56517,0
