EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089.0,2015.0,6-30-2016,92108.0,3270,0,0,0,1329774,61532,0,1394576,64802
330217339_2015,CRISIS HOUSE,330217339.0,2015.0,6-30-2016,92020.0,0,0,0,0,756702,273265,169610,1029967,273265
330217339_2016,CRISIS HOUSE,330217339.0,2016.0,6-30-2017,92020.0,0,0,0,0,802795,342525,189186,1145320,342525
330217339_2017,CRISIS HOUSE,330217339.0,2017.0,6-30-2018,92020.0,0,0,0,0,1433825,346726,183702,1780551,346726
330217339_2018,CRISIS HOUSE,330217339.0,2018.0,6-30-2019,92020.0,0,0,10770,0,1424698,512193,118107,1947661,522963
330217339_2019,CRISIS HOUSE,330217339.0,2019.0,6-30-2020,92020.0,0,0,0,0,1933389,437262,74525,2370651,437262
330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314.0,2015.0,6-30-2016,92101.0,0,0,0,0,851714,1076360,0,1928074,1076360
330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314.0,2016.0,6-30-2017,92101.0,0,0,0,0,806892,1300903,0,2107795,1300903
330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314.0,2017.0,6-30-2018,92101.0,0,0,0,0,1514007,1231820,0,2745827,1231820
330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314.0,2018.0,6-30-2019,92101.0,0,0,0,0,1265617,1689439,0,2955056,1689439
330492304_2015,FATHER JOES VILLAGES,330492304.0,2015.0,12-31-2015,921023332.0,0,0,0,0,560794,2189344,2070609,2750138,2189344
330492304_2016,FATHER JOES VILLAGES,330492304.0,2016.0,12-31-2016,921023332.0,0,0,0,0,242055,2887758,2649029,3129813,2887758
330492304_2017,FATHER JOES VILLAGES,330492304.0,2017.0,12-31-2017,921023332.0,0,0,0,0,279676,6295355,5923230,6575031,6295355
330492304_2018,FATHER JOES VILLAGES,330492304.0,2018.0,12-31-2018,921023332.0,0,0,0,0,102020,2137155,2067214,2239175,2137155
330492304_2019,FATHER JOES VILLAGES,330492304.0,2019.0,12-31-2019,921023332.0,0,0,0,0,578517,15544341,5811788,16122858,15544341
330602842_2015,ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842.0,2015.0,12-31-2015,92123.0,0,0,0,0,1237593,454,0,1238047,454
330602842_2016,ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842.0,2016.0,12-31-2016,92123.0,0,0,0,0,1485908,1212,0,1487120,1212
330602842_2017,ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842.0,2017.0,12-31-2017,92123.0,0,0,0,0,1564629,1120,0,1565749,1120
330602842_2018,ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842.0,2018.0,12-31-2018,92123.0,0,0,0,0,1610341,5416,0,1615757,5416
330602842_2019,ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842.0,2019.0,12-31-2019,92123.0,0,0,0,0,1527348,8561,0,1535909,8561
330618893_2016,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893.0,2016.0,12-31-2016,92127.0,0,0,0,0,58030,0,0,58030,0
330618893_2018,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893.0,2018.0,12-31-2018,92127.0,0,0,0,0,59823,0,0,59823,0
331029843_2015,211 SAN DIEGO,331029843.0,2015.0,6-30-2016,92142.0,0,0,148000,0,0,1442396,20500,1590396,1590396
331029843_2017,211 SAN DIEGO,331029843.0,2017.0,6-30-2018,92142.0,68432,0,0,0,0,1291416,0,1359848,1359848
331029843_2018,211 SAN DIEGO,331029843.0,2018.0,6-30-2019,92142.0,5422,0,0,0,0,1437951,0,1443373,1443373
331029843_2019,211 SAN DIEGO,331029843.0,2019.0,6-30-2020,92142.0,67806,0,167628,0,0,585432,0,820866,820866
465055513_2016,URBAN STREET ANGELS,465055513.0,2016.0,12-31-2016,92101.0,0,0,41551,0,155681,100940,0,298172,142491
465055513_2017,URBAN STREET ANGELS,465055513.0,2017.0,12-31-2017,92101.0,0,0,31109,0,26250,349708,0,407067,380817
562613191_2015,STRONG HEARTED NATIVE WOMENS COALITION INCORPORATED,562613191.0,2015.0,6-30-2016,92082.0,0,0,0,0,727969,1957,0,729926,1957
562613191_2016,STRONG HEARTED NATIVE WOMENS COALITION INCORPORATED,562613191.0,2016.0,6-30-2017,92082.0,0,0,0,0,726300,2800,0,729100,2800
822363154_2019,VOICES OF OUR CITY CHOIR INC,822363154.0,2019.0,12-31-2019,92112.0,0,0,0,0,0,237154,0,237154,237154
941676390_2016,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390.0,2016.0,12-31-2016,92025.0,0,0,0,0,1562588,103148,0,1665736,103148
941676390_2017,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390.0,2017.0,12-31-2017,92025.0,0,0,0,0,2029571,126194,0,2155765,126194
941676390_2018,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390.0,2018.0,12-31-2018,92025.0,0,0,0,0,1819928,73318,0,1893246,73318
941676390_2019,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390.0,2019.0,12-31-2019,92025.0,0,0,0,0,1765110,174234,0,1939344,174234
952111196_2015,ST PAULS EPISCOPAL HOME INC,952111196.0,2015.0,8-31-2016,92013.0,0,0,0,2297041,590897,894547,884493,3782485,3191588
952111196_2016,ST PAULS EPISCOPAL HOME INC,952111196.0,2016.0,8-31-2017,92013.0,0,0,0,1683986,0,1718750,0,3402736,3402736
952111196_2017,ST PAULS EPISCOPAL HOME INC,952111196.0,2017.0,8-31-2018,92013.0,0,0,0,277177,0,263586,0,540763,540763
952111196_2018,ST PAULS EPISCOPAL HOME INC,952111196.0,2018.0,8-31-2019,92013.0,0,0,0,175050,5330,1620000,0,1800380,1795050
952648050_2015,SAN DIEGO YOUTH SERVICES,952648050.0,2015.0,6-30-2016,92110.0,0,0,0,0,0,573337,0,573337,573337
952648050_2016,SAN DIEGO YOUTH SERVICES,952648050.0,2016.0,6-30-2017,92110.0,0,0,0,0,0,339948,0,339948,339948
952648050_2017,SAN DIEGO YOUTH SERVICES,952648050.0,2017.0,6-30-2018,92110.0,0,0,0,0,17914417,225235,0,18139652,225235
952648050_2018,SAN DIEGO YOUTH SERVICES,952648050.0,2018.0,6-30-2019,92110.0,0,0,0,0,19070850,144882,0,19215732,144882
952648050_2019,SAN DIEGO YOUTH SERVICES,952648050.0,2019.0,6-30-2020,92110.0,0,0,0,0,19632420,203870,0,19836290,203870
952850121_2015,SERVING SENIORS,952850121.0,2015.0,6-30-2016,92101.0,0,0,0,0,3119195,1727053,96540,4846248,1727053
952850121_2016,SERVING SENIORS,952850121.0,2016.0,6-30-2017,92101.0,0,0,325000,0,3245708,1210887,0,4781595,1535887
953244085_2015,NEW ALTERNATIVES INC,953244085.0,2015.0,12-31-2015,92163.0,0,0,0,0,0,467092,0,467092,467092
953244085_2016,NEW ALTERNATIVES INC,953244085.0,2016.0,12-31-2016,92163.0,0,0,0,0,0,274792,0,274792,274792
953244085_2017,NEW ALTERNATIVES INC,953244085.0,2017.0,12-31-2017,92163.0,0,0,0,0,29308,741356,0,770664,741356
953244085_2018,NEW ALTERNATIVES INC,953244085.0,2018.0,12-31-2018,92163.0,0,0,0,0,0,390047,0,390047,390047
953244085_2019,NEW ALTERNATIVES INC,953244085.0,2019.0,12-31-2019,92163.0,0,0,0,0,0,291658,0,291658,291658
953649525_2015,VIETNAM VETERANS OF SAN DIEGO,953649525.0,2015.0,6-30-2016,921102030.0,0,0,0,0,8368757,1746395,1086348,10115152,1746395
953649525_2018,VIETNAM VETERANS OF SAN DIEGO,953649525.0,2018.0,6-30-2019,92110.0,0,0,0,0,12226507,1663160,68633,13889667,1663160
953649525_2019,VIETNAM VETERANS OF SAN DIEGO,953649525.0,2019.0,6-30-2020,92110.0,0,0,108285,0,14550486,2660409,90700,17319180,2768694
953750738_2015,CALEXICO PLAZA DEVELOPMENT CORPORATION,953750738.0,2015.0,9-30-2016,92127.0,0,0,0,0,56788,0,0,56788,0
953750738_2017,CALEXICO PLAZA DEVELOPMENT CORPORATION,953750738.0,2017.0,9-30-2018,92127.0,0,0,0,0,56517,0,0,56517,0
953750738_2018,CALEXICO PLAZA DEVELOPMENT CORPORATION,953750738.0,2018.0,9-30-2019,92127.0,0,0,0,0,54330,0,0,54330,0
953750738_2019,CALEXICO PLAZA DEVELOPMENT CORPORATION,953750738.0,2019.0,9-30-2020,92127.0,0,0,0,0,0,0,0,0,0
953750738_2020,CALEXICO PLAZA DEVELOPMENT CORPORATION,953750738.0,2020.0,9-30-2021,92127.0,0,0,0,0,0,0,0,0,0
550806460_2022,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2022.0,12-31-2022,91950.0,0,0,8407,0,291440,270209,0,570056,278616
550806460_2021,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2021.0,12-31-2021,91950.0,0,0,0,0,239763,227448,0,467211,227448
550806460_2020,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2020.0,12-31-2020,91950.0,0,0,0,0,161068,218547,6000,379615,218547
550806460_2019,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2019.0,12-31-2019,91950.0,0,0,0,0,0,269047,0,269047,269047
550806460_2018,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2018.0,12-31-2018,91950.0,0,0,0,0,0,297479,0,297479,297479
550806460_2017,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2017.0,12-31-2017,91950.0,0,0,0,0,171066,159109,0,330175,159109
550806460_2016,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2016.0,12-31-2016,91950.0,0,0,0,0,188786,236171,0,424957,236171
550806460_2015,BILATERAL SAFETY CORRIDOR COALITION,550806460.0,2015.0,12-31-2015,91950.0,0,0,0,0,159442,117018,0,276460,117018
953302967_2021,MENTAL HEALTH SYSTEMS INC,953302967,2021,06-30-2022,92123.0,0,0,0,0,93554678,271291,0,93825969,271291
953302967_2020,MENTAL HEALTH SYSTEMS INC,953302967,2020,06-30-2021,92123.0,0,0,0,0,98611907,25197,0,98637104,25197
953302967_2019,MENTAL HEALTH SYSTEMS INC,953302967,2019,06-30-2020,92123.0,0,0,0,0,90049407,32870,0,90082277,32870
953302967_2018,MENTAL HEALTH SYSTEMS INC,953302967,2018,06-30-2019,92123.0,0,0,0,0,71062143,77961,0,71140104,77961
953302967_2017,MENTAL HEALTH SYSTEMS INC,953302967,2017,06-30-2018,92123.0,0,0,0,0,61935444,79120,0,62014564,79120
953302967_2016,MENTAL HEALTH SYSTEMS INC,953302967,2016,06-30-2017,92123.0,0,0,0,0,62030562,78628,0,62109190,78628
953302967_2015,MENTAL HEALTH SYSTEMS INC,953302967,2015,06-30-2016,92123.0,0,0,0,0,67248615,281825,0,67530440,281825
953302967_2014,MENTAL HEALTH SYSTEMS INC,953302967,2014,06-30-2015,92123.0,0,0,0,0,72132439,267385,0,72399824,267385
953302967_2013,MENTAL HEALTH SYSTEMS INC,953302967,2013,06-30-2014,0.0,0,0,30637,0,0,109691,0,140328,140328
952039198_2021,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123.0,0,0,111000,162000,122845000,8442000,517000,131560000,8715000
952039198_2020,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123.0,0,0,0,0,131804000,37728000,2305000,169532000,37728000
952039198_2019,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123.0,0,0,0,0,103823000,20816000,0,124639000,20816000
952039198_2018,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123.0,0,0,0,0,92115000,11971000,440000,104086000,11971000
952039198_2017,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123.0,0,0,0,0,79369000,15066000,0,94435000,15066000
952039198_2016,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123.0,0,0,0,0,66857000,16797000,1985000,83654000,16797000
952039198_2015,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123.0,0,0,0,0,59368000,15803000,0,75171000,15803000
952039198_2014,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123.0,0,0,0,0,52614000,12983000,731000,65597000,12983000
952039198_2013,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0.0,0,0,22645000,0,45948000,0,7030000,68593000,22645000
953497926_2021,COMMUNITY RESOURCE CENTER,953497926,2021,06-30-2022,92024.0,0,0,114007,0,3001809,1691815,1049099,4807631,1805822
953497926_2020,COMMUNITY RESOURCE CENTER,953497926,2020,06-30-2021,92024.0,0,0,77637,0,3252755,4043651,1035391,7374043,4121288
953497926_2019,COMMUNITY RESOURCE CENTER,953497926,2019,06-30-2020,92024.0,0,0,301149,0,2338255,2490058,627749,5129462,2791207
953497926_2018,COMMUNITY RESOURCE CENTER,953497926,2018,06-30-2019,92024.0,347,0,68811,0,1526759,1422107,614244,3018024,1491265
953497926_2017,COMMUNITY RESOURCE CENTER,953497926,2017,06-30-2018,92024.0,158,0,73475,0,1305024,1827504,548988,3206161,1901137
953497926_2016,COMMUNITY RESOURCE CENTER,953497926,2016,06-30-2017,92024.0,1043,0,4960,0,1074638,1221054,43662,2301695,1227057
953497926_2015,COMMUNITY RESOURCE CENTER,953497926,2015,06-30-2016,92024.0,2081,0,178433,0,877544,1118465,37633,2176523,1298979
953497926_2014,COMMUNITY RESOURCE CENTER,953497926,2014,06-30-2015,92024.0,4086,0,151650,0,112385,1775827,2977,2043948,1931563
953497926_2013,COMMUNITY RESOURCE CENTER,953497926,2013,06-30-2014,0.0,5786,0,58671,0,1215256,1231633,13786,2511346,1296090
272917644_2021,KAREN ORGANIZATION OF SAN DIEGO,272917644,2021,12-31-2021,92105.0,0,0,0,0,298246,670453,0,968699,670453
272917644_2020,KAREN ORGANIZATION OF SAN DIEGO,272917644,2020,12-31-2020,92105.0,0,0,0,0,123825,384902,0,508727,384902
272917644_2019,KAREN ORGANIZATION OF SAN DIEGO,272917644,2019,12-31-2019,92105.0,0,0,0,0,0,169503,0,169503,169503
272917644_2018,KAREN ORGANIZATION OF SAN DIEGO,272917644,2018,12-31-2018,92105.0,0,0,0,0,0,188071,0,188071,188071
272917644_2017,KAREN ORGANIZATION OF SAN DIEGO,272917644,2017,12-31-2017,92105.0,0,0,2888,0,0,132638,0,135526,135526
272917644_2016,KAREN ORGANIZATION OF SAN DIEGO,272917644,2016,12-31-2016,92105.0,0,0,0,0,0,139470,0,139470,139470
272917644_2015,KAREN ORGANIZATION OF SAN DIEGO,272917644,2015,12-31-2015,92105.0,0,0,0,0,0,103388,0,103388,103388
951874073_2021,SAN DIEGO RESCUE MISSION INC,951874073,2021,09-30-2022,92138.0,0,0,155764,0,0,26121296,8271604,26277060,26277060
951874073_2020,SAN DIEGO RESCUE MISSION INC,951874073,2020,09-30-2021,92138.0,0,0,142855,0,0,21978558,10039786,22121413,22121413
951874073_2019,SAN DIEGO RESCUE MISSION INC,951874073,2019,09-30-2020,92138.0,0,0,50825,0,0,16540608,7454894,16591433,16591433
951874073_2018,SAN DIEGO RESCUE MISSION INC,951874073,2018,09-30-2019,92138.0,0,0,297819,0,0,16921789,8637829,17219608,17219608
951874073_2017,SAN DIEGO RESCUE MISSION INC,951874073,2017,09-30-2018,92138.0,0,0,0,0,0,17095088,9929227,17095088,17095088
951874073_2016,SAN DIEGO RESCUE MISSION INC,951874073,2016,09-30-2017,92138.0,0,0,305400,0,0,16740241,10289900,17045641,17045641
951874073_2015,SAN DIEGO RESCUE MISSION INC,951874073,2015,09-30-2016,92138.0,0,0,0,0,0,15535669,9304663,15535669,15535669
951874073_2014,SAN DIEGO RESCUE MISSION INC,951874073,2014,09-30-2015,92138.0,0,0,0,0,0,16740258,10231347,16740258,16740258
951874073_2013,SAN DIEGO RESCUE MISSION INC,951874073,2013,09-30-2014,0.0,0,0,0,0,0,19597062,9632204,19597062,19597062
263405689_2021,GENERATEHOPE INC,263405689,2021,12-31-2021,92108.0,0,0,159532,0,321341,2444340,61751,2925213,2603872
263405689_2020,GENERATEHOPE INC,263405689,2020,12-31-2020,92108.0,0,0,133830,0,60934,1162044,76861,1356808,1295874
263405689_2019,GENERATEHOPE INC,263405689,2019,12-31-2019,92108.0,0,0,190000,0,61264,871044,53273,1122308,1061044
263405689_2018,GENERATEHOPE INC,263405689,2018,12-31-2018,92108.0,0,0,204598,0,65995,1195492,317578,1466085,1400090
263405689_2017,GENERATEHOPE INC,263405689,2017,12-31-2017,92108.0,0,0,139870,0,83947,705417,149318,929234,845287
263405689_2016,GENERATEHOPE INC,263405689,2016,12-31-2016,92108.0,0,0,0,0,52000,971973,736500,1023973,971973
263405689_2015,GENERATEHOPE INC,263405689,2015,12-31-2015,92108.0,0,0,12315,0,153154,559739,0,725208,572054
263405689_2014,GENERATEHOPE INC,263405689,2014,12-31-2014,92108.0,0,0,0,0,100000,227478,0,327478,227478
263405689_2013,GENERATEHOPE INC,263405689,2013,12-31-2013,0.0,0,0,0,0,100000,179228,0,279228,179228
953368020_2021,KIKU GARDENS INC,953368020,2021,06-30-2022,91911.0,0,0,0,0,0,1600,0,1600,1600
953368020_2020,KIKU GARDENS INC,953368020,2020,06-30-2021,91911.0,0,0,0,0,0,500,0,500,500
953368020_2019,KIKU GARDENS INC,953368020,2019,06-30-2020,91911.0,0,0,0,0,0,1375,0,1375,1375
953368020_2018,KIKU GARDENS INC,953368020,2018,06-30-2019,91911.0,0,0,0,0,0,4500,0,4500,4500
953368020_2017,KIKU GARDENS INC,953368020,2017,06-30-2018,91911.0,0,0,0,0,0,1301200,0,1301200,1301200
953368020_2016,KIKU GARDENS INC,953368020,2016,06-30-2017,91911.0,0,0,0,0,0,0,0,0,0
953368020_2015,KIKU GARDENS INC,953368020,2015,06-30-2016,91911.0,0,0,1125,0,0,160,0,1285,1285
953368020_2014,KIKU GARDENS INC,953368020,2014,06-30-2015,91911.0,0,0,0,0,0,0,0,0,0
571214920_2021,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2021,06-30-2022,92084.0,0,0,0,0,391086,481445,0,872531,481445
571214920_2020,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2020,06-30-2021,92084.0,0,0,0,0,422615,692114,0,1114729,692114
571214920_2019,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2019,06-30-2020,92084.0,0,0,0,0,124333,1028389,0,1152722,1028389
571214920_2017,OPERATION HOPE  VISTA INCORPORATED,571214920,2017,06-30-2018,92084.0,0,0,0,0,75417,539143,100296,614560,539143
571214920_2016,OPERATION HOPE  VISTA INCORPORATED,571214920,2016,06-30-2017,92084.0,0,0,20689,0,54430,267403,0,342522,288092
331146733_2022,THINK DIGNITY,331146733,2022,12-31-2022,92104.0,0,0,63722,0,213571,256658,19922,533951,320380
331146733_2021,THINK DIGNITY,331146733,2021,12-31-2021,92104.0,0,0,45695,0,189346,273056,63404,508097,318751
331146733_2020,THINK DIGNITY,331146733,2020,12-31-2020,92104.0,0,0,0,0,217312,305452,37406,522764,305452
331146733_2019,THINK DIGNITY,331146733,2019,12-31-2019,92104.0,0,0,48628,0,129001,125440,43807,303069,174068
331146733_2018,THINK DIGNITY,331146733,2018,12-31-2018,92104.0,0,0,33682,0,114747,324226,25426,472655,357908
