,EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,07-31-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,08-31-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,09-30-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,10-31-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,11-30-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,12-31-2015,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,01-31-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,02-29-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,03-31-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,04-30-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,05-31-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
0,330006089_2015,DEAF COMMUNITY SERVICES OF SAN DIEGO,330006089,2015,06-30-2016,92108,3270,0.0,0.0,0.0,110814.5,5127.666666666667,0.0,116214.66666666667,5400.166666666667
1,330217339_2015,CRISIS HOUSE,330217339,2015,07-31-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,08-31-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,09-30-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,10-31-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,11-30-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
