EIN_YEAR,Organization Name,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
204374795_2021.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2021.0,92121,0,0,349596,0,6327592,87887254,58312927,94564442,88236850
204374795_2020.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2020.0,92121,0,0,251384,0,10838132,113522301,80913471,124611817,113773685
204374795_2019.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2019.0,92121,0,0,103012,0,5257407,75773240,58281891,81133659,75876252
204374795_2018.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2018.0,92121,0,0,316076,0,2593934,48722765,41159936,51632775,49038841
204374795_2017.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2017.0,92121,0,0,191553,0,2106601,41309129,35087496,43607283,41500682
204374795_2016.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2016.0,92121,0,0,154260,0,1623355,38415684,31883433,40193299,38569944
204374795_2015.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2015.0,92121,0,0,117922,0,2175671,31097166,25686164,33390759,31215088
204374795_2014.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2014.0,92121,0,0,143289,0,8567254,24065867,25032864,32776410,24209156
204374795_2013.0,JACOBS  CUSHMAN SAN DIEGO FOOD BANK,204374795,2013.0,0,0,0,131556,0,2230566,30090121,25346991,32452243,30221677
330352148_2021.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2021.0,92138,0,0,0,157000,1981922,2149303,0,4288225,2306303
330352148_2020.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2020.0,92138,0,0,0,130000,1958200,59307,0,2147507,189307
330352148_2019.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2019.0,92138,0,0,0,90000,1262411,926461,0,2278872,1016461
330352148_2018.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2018.0,92138,0,0,0,126000,533845,222315,0,882160,348315
330352148_2017.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2017.0,92138,0,0,0,129490,582820,139711,0,852021,269201
330352148_2016.0,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2016.0,921380156,0,0,0,0,416078,76090,3900,492168,76090
