EIN_YEAR,All Other Contributions,EIN,Federate Campaigns,Fundraising Events,Government Grants,Location (Zipcode),Membership Dues,Noncash Contributions,Organization Name,Related Organizations,Tax End Date,Tax Year,Total,Philanthropic_Total
550806460_2022,270209,550806460,0,8407,291440,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2022,2022,570056,278616
550806460_2021,227448,550806460,0,0,239763,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2021,2021,467211,227448
550806460_2020,218547,550806460,0,0,161068,91950,0,6000,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2020,2020,379615,218547
550806460_2019,269047,550806460,0,0,0,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2019,2019,269047,269047
550806460_2018,297479,550806460,0,0,0,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2018,2018,297479,297479
550806460_2017,159109,550806460,0,0,171066,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2017,2017,330175,159109
550806460_2016,236171,550806460,0,0,188786,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2016,2016,424957,236171
550806460_2015,117018,550806460,0,0,159442,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2015,2015,276460,117018
953302967_2021,271291,953302967,0,0,93554678,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2022,2021,93825969,271291
953302967_2020,25197,953302967,0,0,98611907,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2021,2020,98637104,25197
953302967_2019,32870,953302967,0,0,90049407,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2020,2019,90082277,32870
953302967_2018,77961,953302967,0,0,71062143,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2019,2018,71140104,77961
953302967_2017,79120,953302967,0,0,61935444,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2018,2017,62014564,79120
953302967_2016,78628,953302967,0,0,62030562,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2017,2016,62109190,78628
953302967_2015,281825,953302967,0,0,67248615,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2016,2015,67530440,281825
953302967_2014,267385,953302967,0,0,72132439,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2015,2014,72399824,267385
953302967_2013,109691,953302967,0,30637,0,0,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2014,2013,140328,140328
952039198_2021,8442000,952039198,0,111000,122845000,92123,0,517000,YMCA OF SAN DIEGO COUNTY,162000,06-30-2022,2021,131560000,8715000
952039198_2020,37728000,952039198,0,0,131804000,92123,0,2305000,YMCA OF SAN DIEGO COUNTY,0,06-30-2021,2020,169532000,37728000
952039198_2019,20816000,952039198,0,0,103823000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2020,2019,124639000,20816000
952039198_2018,11971000,952039198,0,0,92115000,92123,0,440000,YMCA OF SAN DIEGO COUNTY,0,06-30-2019,2018,104086000,11971000
952039198_2017,15066000,952039198,0,0,79369000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2018,2017,94435000,15066000
952039198_2016,16797000,952039198,0,0,66857000,92123,0,1985000,YMCA OF SAN DIEGO COUNTY,0,06-30-2017,2016,83654000,16797000
952039198_2015,15803000,952039198,0,0,59368000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2016,2015,75171000,15803000
952039198_2014,12983000,952039198,0,0,52614000,92123,0,731000,YMCA OF SAN DIEGO COUNTY,0,06-30-2015,2014,65597000,12983000
952039198_2013,0,952039198,0,22645000,45948000,0,0,7030000,YMCA OF SAN DIEGO COUNTY,0,06-30-2014,2013,68593000,22645000
953497926_2021,1691815,953497926,0,114007,3001809,92024,0,1049099,COMMUNITY RESOURCE CENTER,0,06-30-2022,2021,4807631,1805822
953497926_2020,4043651,953497926,0,77637,3252755,92024,0,1035391,COMMUNITY RESOURCE CENTER,0,06-30-2021,2020,7374043,4121288
