EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total,Ratio,Z-score,Normalized,Total Federate Campaigns,Total Membership Dues,Total Fundraising Events,Total Related Organizations,Total Government Grants,Total All Other Contributions,Total Noncash Contributions,Year Total,Year Philanthropic_Total,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,06-30-2015,92123,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,0,0,0,0,991765,94796,0,1086561,Year Philanthropic_Total,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,05-30-2015,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,04-30-2015,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,03-30-2015,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,02-28-2015,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,01-30-2015,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,12-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,11-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,10-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,09-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,08-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,07-30-2014,,0,0,0,0,82647.08333,7899.666667,0,90546.75,7899.666667,0.9127559336,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,06-30-2016,92123,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,0,0,0,0,1110060,47330,0,1157390,47330,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,05-30-2016,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,04-30-2016,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,03-30-2016,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,02-29-2016,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,01-30-2016,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,12-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,11-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,10-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,09-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,08-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,07-30-2015,,0,0,0,0,92505,3944.166667,0,96449.16667,3944.166667,0.959106265,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,06-30-2017,92123,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,0,6677,0,0,1922156,65214,0,1994047,71891,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,05-30-2017,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,04-30-2017,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,03-30-2017,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,02-28-2017,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,01-30-2017,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,12-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,11-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,10-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,9-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,8-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,7-30-2016,,0,556.4166667,0,0,160179.6667,5434.5,0,166170.5833,5990.916667,0.9639471888,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,06-30-2018,92123,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,0,0,0,0,2021667,738875,0,2760542,738875,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,05-30-2018,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,04-30-2018,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,03-30-2018,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,02-28-2018,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,01-30-2018,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,12-30-2017,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,11-30-2017,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,10-30-2017,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,09-30-2017,,0,0,0,0,168472.25,61572.91667,0,230045.1667,61572.91667,0.7323442281,#DIV/0!,#DIV/0!,,,,,,,,,,
