,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
0,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2021.0,06-30-2022,92084,0,0,0,0,13405575,451714,223226,13857289
1,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2020.0,06-30-2021,92056,0,0,0,0,13098737,679469,189639,13778206
2,North County Lifeline Inc,952794253,2019.0,06-30-2020,92056,0,0,0,0,12446965,392396,251569,12839361
3,North County Lifeline Inc,952794253,2018.0,06-30-2019,92056,0,0,0,0,10496439,353245,235480,10849684
4,North County Lifeline Inc,952794253,2017.0,06-30-2018,92056,0,0,0,0,9738384,287018,207107,10025402
5,North County Lifeline Inc,952794253,2016.0,06-30-2017,92056,0,0,0,0,7910489,269310,107107,8179799
6,North County Lifeline Inc,952794253,2015.0,06-30-2016,92056,0,0,0,0,7008292,156226,71467,7164518
7,North County Lifeline Inc,952794253,2014.0,06-30-2015,92056,0,0,0,0,6666125,112730,70794,6778855
8,The Association for Community Housing Solutions,330602842,2021.0,12-31-2021,92123,0,0,0,0,1659718,27280,0,1686998
9,TACHS,330602842,2020.0,12-31-2020,92123,0,0,0,0,1598008,25316,0,1623324
10,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2021.0,06-30-2022,92121,0,0,349596,0,6327592,87887254,58312927,94564442
11,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2020.0,06-30-2021,92121,0,0,251384,0,10838132,113522301,80913471,124611817
12,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2019.0,06-30-2020,92121,0,0,103012,0,5257407,75773240,58281891,81133659
13,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2018.0,06-30-2019,92121,0,0,316076,0,2593934,48722765,41159936,51632775
14,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2017.0,06-30-2018,92121,0,0,191553,0,2106601,41309129,35087496,43607283
15,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2016.0,06-30-2017,92121,0,0,154260,0,1623355,38415684,31883433,40193299
16,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2015.0,06-30-2016,92121,0,0,117922,0,2175671,31097166,25686164,33390759
17,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2014.0,06-30-2015,92121,0,0,143289,0,8567254,24065867,25032864,32776410
18,JACOBS & CUSHMAN SAN DIEGO FOOD BANK,204374795,2013.0,06-30-2014,0,0,0,131556,0,2230566,30090121,25346991,32452243
19,Not found,952694444,,,0,0,0,0,0,0,0,0,0
20,Not found,952694444,,,0,0,0,0,0,0,0,0,0
21,Not found,204374795,,,0,0,0,0,0,0,0,0,0
22,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2020.0,06-30-2021,92127,0,0,0,0,0,158572,0,158572
23,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2019.0,06-30-2020,92127,0,0,0,0,132432,0,0,132432
24,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2018.0,06-30-2019,92127,0,0,0,0,161530,0,0,161530
25,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2017.0,06-30-2018,92127,0,0,0,0,139382,0,0,139382
26,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2016.0,06-30-2017,92127,0,0,0,0,141447,0,0,141447
27,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2015.0,06-30-2016,92127,0,0,0,0,320264,0,0,320264
28,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2014.0,06-30-2015,92127,0,0,0,0,433182,0,0,433182
29,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2020.0,09-30-2021,92127,0,0,0,0,0,0,0,0
30,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2019.0,09-30-2020,92127,0,0,0,0,0,0,0,0
31,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2018.0,09-30-2019,92127,0,0,0,0,54330,0,0,54330
32,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2017.0,09-30-2018,92127,0,0,0,0,56517,0,0,56517
33,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2016.0,09-30-2017,92127,0,0,0,0,55911,0,0,55911
34,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2015.0,09-30-2016,92127,0,0,0,0,56788,0,0,56788
35,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2014.0,09-30-2015,92127,0,0,0,0,55336,0,0,55336
36,Southern Indian Health Council,953782164,2020.0,09-30-2021,91901,0,0,0,0,19406720,120824,59013,19527544
37,Southern Indian Health Council,953782164,2019.0,09-30-2020,91901,0,0,0,0,15329504,54763,54763,15384267
38,Southern Indian Health Council,953782164,2018.0,09-30-2019,91901,0,0,0,0,12821614,171201,44396,12992815
39,Southern Indian Health Council,953782164,2017.0,09-30-2018,91901,0,0,0,0,12039956,227741,42532,12267697
40,Southern Indian Health Council,953782164,2016.0,09-30-2017,91901,0,0,0,0,11237004,378725,39036,11615729
41,Southern Indian Health Council,953782164,2015.0,09-30-2016,91901,0,0,0,0,10326684,926092,96307,11252776
42,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2014.0,09-30-2015,91901,0,0,0,0,10459020,638433,123626,11097453
43,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2013.0,09-30-2014,0,0,0,0,0,9395777,145941,97417,9541718
44,SAN DIEGO RESCUE MISSION INC,951874073,2021.0,09-30-2022,92138,0,0,155764,0,0,26121296,8271604,26277060
45,SAN DIEGO RESCUE MISSION INC,951874073,2020.0,09-30-2021,92138,0,0,142855,0,0,21978558,10039786,22121413
46,SAN DIEGO RESCUE MISSION INC,951874073,2019.0,09-30-2020,92138,0,0,50825,0,0,16540608,7454894,16591433
47,SAN DIEGO RESCUE MISSION INC,951874073,2018.0,09-30-2019,92138,0,0,297819,0,0,16921789,8637829,17219608
48,SAN DIEGO RESCUE MISSION INC,951874073,2017.0,09-30-2018,92138,0,0,0,0,0,17095088,9929227,17095088
49,San Diego Rescue Mission Inc,951874073,2016.0,09-30-2017,92138,0,0,305400,0,0,16740241,10289900,17045641
50,San Diego Rescue Mission Inc,951874073,2015.0,09-30-2016,92138,0,0,265175,0,0,15535669,9304663,15535669
51,SAN DIEGO RESCUE MISSION INC,951874073,2014.0,09-30-2015,92138,0,0,0,0,0,16740258,10231347,16740258
52,SAN DIEGO RESCUE MISSION INC,951874073,2013.0,09-30-2014,0,0,0,0,0,0,19597062,9632204,19597062
53,Not found,330801710,,,0,0,0,0,0,0,0,0,0
54,Not found,330801710,,,0,0,0,0,0,0,0,0,0
55,Not found,951874073,,,0,0,0,0,0,0,0,0,0
56,Not found,951874073,,,0,0,0,0,0,0,0,0,0
57,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2021.0,06-30-2022,92123,0,0,366680,0,16561736,1186451,10000,18114867
58,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2020.0,06-30-2021,92123,0,0,0,0,17100546,833046,3100,17933592
59,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2019.0,06-30-2020,92123,0,0,1071693,0,16055428,658669,35545,17785790
60,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2018.0,12-31-2018,92123,0,0,1007674,0,13353015,441793,681176,14802482
61,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2017.0,12-31-2017,92123,0,0,0,0,0,252500,0,252500
62,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2016.0,12-31-2016,92123,0,0,0,0,0,433600,1200,433600
63,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2015.0,12-31-2015,92123,0,0,0,0,0,203057,4040,203057
64,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2014.0,12-31-2014,92120,0,0,0,0,0,216481,811,216481
65,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2013.0,12-31-2013,0,0,0,0,0,0,101535,0,101535
66,Not found,942358632,,,0,0,0,0,0,0,0,0,0
67,Not found,942358632,,,0,0,0,0,0,0,0,0,0
68,Not found,942358632,,,0,0,0,0,0,0,0,0,0
69,SDHC BUILDING OPPORTUNITIES INC,821946283,2021.0,06-30-2022,92101,0,0,0,0,0,353094,0,353094
70,SDHC BUILDING OPPORTUNITIES INC,821946283,2020.0,06-30-2021,92101,0,0,0,0,0,116000,0,116000
71,SDHC BUILDING OPPORTUNITIES INC,821946283,2019.0,06-30-2020,92101,0,0,0,0,0,366114,0,366114
72,UNION OF PAN ASIAN COMMUNITIES,237279074,2021.0,06-30-2022,92102,170,0,44349,0,0,595309,53487,639828
73,UNION OF PAN ASIAN COMMUNITIES,237279074,2020.0,06-30-2021,92102,216,0,77662,0,33272,524550,0,635700
74,UNION OF PAN ASIAN COMMUNITIES,237279074,2019.0,06-30-2020,92102,56,0,0,0,0,561746,0,561802
75,UNION OF PAN ASIAN COMMUNITIES,237279074,2018.0,06-30-2019,92102,387,0,134109,0,0,299784,0,434280
76,UNION OF PAN ASIAN COMMUNITIES,237279074,2017.0,06-30-2018,92102,219,0,123225,0,0,443582,0,567026
