EIN_YEAR,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
951874073_2021,SAN DIEGO RESCUE MISSION INC,951874073,2021,09-30-2022,92138,0,0,155764,0,0,26121296,8271604,26277060
951874073_2020,SAN DIEGO RESCUE MISSION INC,951874073,2020,09-30-2021,92138,0,0,142855,0,0,21978558,10039786,22121413
951874073_2019,SAN DIEGO RESCUE MISSION INC,951874073,2019,09-30-2020,92138,0,0,50825,0,0,16540608,7454894,16591433
951874073_2018,SAN DIEGO RESCUE MISSION INC,951874073,2018,09-30-2019,92138,0,0,297819,0,0,16921789,8637829,17219608
951874073_2017,SAN DIEGO RESCUE MISSION INC,951874073,2017,09-30-2018,92138,0,0,0,0,0,17095088,9929227,17095088
951874073_2016,San Diego Rescue Mission Inc,951874073,2016,09-30-2017,92138,0,0,305400,0,0,16740241,10289900,17045641
951874073_2015,San Diego Rescue Mission Inc,951874073,2015,09-30-2016,92138,0,0,0,0,0,15535669,9304663,15535669
951874073_2014,SAN DIEGO RESCUE MISSION INC,951874073,2014,09-30-2015,92138,0,0,0,0,0,16740258,10231347,16740258
951874073_2013,SAN DIEGO RESCUE MISSION INC,951874073,2013,09-30-2014,0,0,0,0,0,0,19597062,9632204,19597062
272917644_2021,Karen Organization of San Diego,272917644,2021,12-31-2021,92105,0,0,0,0,298246,670453,0,968699
272917644_2020,Karen Organization of San Diego,272917644,2020,12-31-2020,92105,0,0,0,0,123825,384902,0,508727
272917644_2019,Karen Organization of San Diego,272917644,2019,12-31-2019,92105,0,0,0,0,0,169503,0,169503
272917644_2018,Karen Organization of San Diego,272917644,2018,12-31-2018,92105,0,0,0,0,0,188071,0,188071
272917644_2017,Karen Organization of San Diego,272917644,2017,12-31-2017,92105,0,0,2888,0,0,132638,0,135526
272917644_2016,Karen Organization of San Diego,272917644,2016,12-31-2016,92105,0,0,0,0,0,139470,0,139470
272917644_2015,Karen Organization of San Diego,272917644,2015,12-31-2015,92105,0,0,0,0,0,103388,0,103388
952039198_2021,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000
952039198_2020,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123,0,0,0,0,131804000,37728000,2305000,169532000
952039198_2019,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000
952039198_2018,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000
952039198_2017,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000
952039198_2016,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000
952039198_2015,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000
952039198_2014,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000
952039198_2013,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0,0,0,22645000,0,45948000,0,7030000,68593000
952039198_2021,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000
952039198_2020,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123,0,0,0,0,131804000,37728000,2305000,169532000
952039198_2019,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000
952039198_2018,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000
952039198_2017,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000
952039198_2016,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000
952039198_2015,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000
952039198_2014,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000
952039198_2013,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0,0,0,22645000,0,45948000,0,7030000,68593000
953302967_2021,MENTAL HEALTH SYSTEMS INC,953302967,2021,06-30-2022,92123,0,0,0,0,93554678,271291,0,93825969
953302967_2020,MENTAL HEALTH SYSTEMS INC,953302967,2020,06-30-2021,92123,0,0,0,0,98611907,25197,0,98637104
953302967_2019,MENTAL HEALTH SYSTEMS INC,953302967,2019,06-30-2020,92123,0,0,0,0,90049407,32870,0,90082277
953302967_2018,MENTAL HEALTH SYSTEMS INC,953302967,2018,06-30-2019,92123,0,0,0,0,71062143,77961,0,71140104
953302967_2017,MENTAL HEALTH SYSTEMS INC,953302967,2017,06-30-2018,92123,0,0,0,0,61935444,79120,0,62014564
953302967_2016,Mental Health Systems Inc,953302967,2016,06-30-2017,92123,0,0,0,0,62030562,78628,0,62109190
953302967_2015,MENTAL HEALTH SYSTEMS INC,953302967,2015,06-30-2016,92123,0,0,0,0,67248615,281825,0,67530440
953302967_2014,MENTAL HEALTH SYSTEMS INC,953302967,2014,06-30-2015,92123,0,0,0,0,72132439,267385,0,72399824
953302967_2013,MENTAL HEALTH SYSTEMS INC,953302967,2013,06-30-2014,0,0,0,30637,0,0,109691,0,140328
571214920_2021,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2021,06-30-2022,92084,0,0,0,0,391086,481445,0,872531
571214920_2020,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2020,06-30-2021,92084,0,0,0,0,422615,692114,0,1114729
571214920_2019,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2019,06-30-2020,92084,0,0,0,0,124333,1028389,0,1152722
571214920_2017,OPERATION HOPE - VISTA INCORPORATED,571214920,2017,06-30-2018,92084,0,0,0,0,75417,539143,100296,614560
571214920_2016,OPERATION HOPE - VISTA INCORPORATED,571214920,2016,06-30-2017,92084,0,0,20689,0,54430,267403,0,342522
953368020_2021,KIKU GARDENS INC,953368020,2021,06-30-2022,91911,0,0,0,0,0,1600,0,1600
953368020_2020,Kiku Gardens Inc,953368020,2020,06-30-2021,91911,0,0,0,0,0,500,0,500
953368020_2019,Kiku Gardens Inc,953368020,2019,06-30-2020,91911,0,0,0,0,0,1375,0,1375
953368020_2018,Kiku Gardens Inc,953368020,2018,06-30-2019,91911,0,0,0,0,0,4500,0,4500
953368020_2017,Kiku Gardens Inc,953368020,2017,06-30-2018,91911,0,0,0,0,0,1301200,0,1301200
953368020_2016,Kiku Gardens Inc,953368020,2016,06-30-2017,91911,0,0,0,0,0,0,0,0
953368020_2015,Kiku Gardens Inc,953368020,2015,06-30-2016,91911,0,0,1125,0,0,160,0,1285
953368020_2014,KIKU GARDENS INC,953368020,2014,06-30-2015,91911,0,0,0,0,0,0,0,0
331146733_2022,THINK DIGNITY,331146733,2022,12-31-2022,92104,0,0,63722,0,213571,256658,19922,533951
331146733_2021,THINK DIGNITY,331146733,2021,12-31-2021,92104,0,0,45695,0,189346,273056,63404,508097
331146733_2020,THINK DIGNITY,331146733,2020,12-31-2020,92104,0,0,0,0,217312,305452,37406,522764
331146733_2019,THINK DIGNITY,331146733,2019,12-31-2019,92104,0,0,48628,0,129001,125440,43807,303069
331146733_2018,THINK DIGNITY,331146733,2018,12-31-2018,92104,0,0,33682,0,114747,324226,25426,472655
331146733_2017,THINK DIGNITY,331146733,2017,12-31-2017,92104,0,4925,15100,0,106172,255771,0,381968
331146733_2016,Think Dignity,331146733,2016,12-31-2016,92104,0,3445,20231,0,121084,114551,11272,259311
331146733_2014,Girls Think Tank,331146733,2014,12-31-2014,92101,0,8885,0,0,0,94368,0,103253
263405689_2021,GENERATEHOPE INC,263405689,2021,12-31-2021,92108,0,0,159532,0,321341,2444340,61751,2925213
263405689_2020,GENERATEHOPE INC,263405689,2020,12-31-2020,92108,0,0,133830,0,60934,1162044,76861,1356808
263405689_2019,GENERATEHOPE INC,263405689,2019,12-31-2019,92108,0,0,190000,0,61264,871044,53273,1122308
263405689_2018,GENERATEHOPE INC,263405689,2018,12-31-2018,92108,0,0,204598,0,65995,1195492,317578,1466085
263405689_2017,GENERATEHOPE INC,263405689,2017,12-31-2017,92108,0,0,139870,0,83947,705417,149318,929234
263405689_2016,GENERATEHOPE INC,263405689,2016,12-31-2016,92108,0,0,0,0,52000,971973,736500,1023973
263405689_2015,GENERATEHOPE INC,263405689,2015,12-31-2015,92108,0,0,12315,0,153154,559739,0,725208
263405689_2014,GENERATEHOPE INC,263405689,2014,12-31-2014,92108,0,0,0,0,100000,227478,0,327478
263405689_2013,GENERATEHOPE INC,263405689,2013,12-31-2013,0,0,0,0,0,100000,179228,0,279228
953497926_2021,COMMUNITY RESOURCE CENTER,953497926,2021,06-30-2022,92024,0,0,114007,0,3001809,1691815,1049099,4807631
953497926_2020,COMMUNITY RESOURCE CENTER,953497926,2020,06-30-2021,92024,0,0,77637,0,3252755,4043651,1035391,7374043
953497926_2019,COMMUNITY RESOURCE CENTER,953497926,2019,06-30-2020,92024,0,0,301149,0,2338255,2490058,627749,5129462
953497926_2018,COMMUNITY RESOURCE CENTER,953497926,2018,06-30-2019,92024,347,0,68811,0,1526759,1422107,614244,3018024
953497926_2017,COMMUNITY RESOURCE CENTER,953497926,2017,06-30-2018,92024,158,0,73475,0,1305024,1827504,548988,3206161
953497926_2016,COMMUNITY RESOURCE CENTER,953497926,2016,06-30-2017,92024,1043,0,4960,0,1074638,1221054,43662,2301695
953497926_2015,Community Resource Center,953497926,2015,06-30-2016,92024,2081,0,178433,0,877544,1118465,37633,2176523
953497926_2014,COMMUNITY RESOURCE CENTER,953497926,2014,06-30-2015,92024,4086,0,151650,0,112385,1775827,2977,2043948
953497926_2013,COMMUNITY RESOURCE CENTER,953497926,2013,06-30-2014,0,5786,0,58671,0,1215256,1231633,13786,2511346
550806460_2022,Bilateral Safety Corridor Coalition,550806460,2022,12-31-2022,91950,0,0,8407,0,291440,270209,0,570056
550806460_2021,Bilateral Safety Corridor Coalition,550806460,2021,12-31-2021,91950,0,0,0,0,239763,227448,0,467211
550806460_2020,Bilateral Safety Corridor Coalition,550806460,2020,12-31-2020,91950,0,0,0,0,161068,218547,6000,379615
550806460_2019,Bilateral Safety Corridor Coalition,550806460,2019,12-31-2019,91950,0,0,0,0,0,269047,0,269047
550806460_2018,BILATERAL SAFETY CORRIDOR COALITION,550806460,2018,12-31-2018,91950,0,0,0,0,0,297479,0,297479
550806460_2017,Bilateral Safety Corridor Coalition,550806460,2017,12-31-2017,91950,0,0,0,0,171066,159109,0,330175
550806460_2016,Bilateral Safety Corridor Coalition,550806460,2016,12-31-2016,91950,0,0,0,0,188786,236171,0,424957
