,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,EIN_YEAR
0,Bilateral Safety Corridor Coalition,550806460,2022,12-31-2022,91950,0,0,8407,0,291440,270209,0,570056,550806460_2022
1,Bilateral Safety Corridor Coalition,550806460,2021,12-31-2021,91950,0,0,0,0,239763,227448,0,467211,550806460_2021
2,Bilateral Safety Corridor Coalition,550806460,2020,12-31-2020,91950,0,0,0,0,161068,218547,6000,379615,550806460_2020
3,Bilateral Safety Corridor Coalition,550806460,2019,12-31-2019,91950,0,0,0,0,0,269047,0,269047,550806460_2019
4,BILATERAL SAFETY CORRIDOR COALITION,550806460,2018,12-31-2018,91950,0,0,0,0,0,297479,0,297479,550806460_2018
5,Bilateral Safety Corridor Coalition,550806460,2017,12-31-2017,91950,0,0,0,0,171066,159109,0,330175,550806460_2017
6,Bilateral Safety Corridor Coalition,550806460,2016,12-31-2016,91950,0,0,0,0,188786,236171,0,424957,550806460_2016
7,Bilateral Safety Corridor Coalition,550806460,2015,12-31-2015,91950,0,0,0,0,159442,117018,0,276460,550806460_2015
8,MENTAL HEALTH SYSTEMS INC,953302967,2021,06-30-2022,92123,0,0,0,0,93554678,271291,0,93825969,953302967_2021
9,MENTAL HEALTH SYSTEMS INC,953302967,2020,06-30-2021,92123,0,0,0,0,98611907,25197,0,98637104,953302967_2020
10,MENTAL HEALTH SYSTEMS INC,953302967,2019,06-30-2020,92123,0,0,0,0,90049407,32870,0,90082277,953302967_2019
11,MENTAL HEALTH SYSTEMS INC,953302967,2018,06-30-2019,92123,0,0,0,0,71062143,77961,0,71140104,953302967_2018
12,MENTAL HEALTH SYSTEMS INC,953302967,2017,06-30-2018,92123,0,0,0,0,61935444,79120,0,62014564,953302967_2017
13,Mental Health Systems Inc,953302967,2016,06-30-2017,92123,0,0,0,0,62030562,78628,0,62109190,953302967_2016
14,MENTAL HEALTH SYSTEMS INC,953302967,2015,06-30-2016,92123,0,0,0,0,67248615,281825,0,67530440,953302967_2015
15,MENTAL HEALTH SYSTEMS INC,953302967,2014,06-30-2015,92123,0,0,0,0,72132439,267385,0,72399824,953302967_2014
16,MENTAL HEALTH SYSTEMS INC,953302967,2013,06-30-2014,0,0,0,30637,0,0,109691,0,140328,953302967_2013
17,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000,952039198_2021
18,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123,0,0,0,0,131804000,37728000,2305000,169532000,952039198_2020
19,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000,952039198_2019
20,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000,952039198_2018
21,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000,952039198_2017
22,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000,952039198_2016
23,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000,952039198_2015
24,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000,952039198_2014
