,EIN_YEAR,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
0,942358632_2021,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2021,06-30-2022,92123,0,0,366680,0,16561736,1186451,10000,18114867
1,942358632_2020,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2020,06-30-2021,92123,0,0,0,0,17100546,833046,3100,17933592
2,942358632_2019,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2019,06-30-2020,92123,0,0,1071693,0,16055428,658669,35545,17785790
3,942358632_2018,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2018,12-31-2018,92123,0,0,1007674,0,13353015,441793,681176,14802482
4,942358632_2017,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2017,12-31-2017,92123,0,0,0,0,0,252500,0,252500
5,942358632_2016,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2016,12-31-2016,92123,0,0,0,0,0,433600,1200,433600
6,942358632_2015,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2015,12-31-2015,92123,0,0,0,0,0,203057,4040,203057
7,942358632_2014,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2014,12-31-2014,92120,0,0,0,0,0,216481,811,216481
8,942358632_2013,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2013,12-31-2013,0,0,0,0,0,0,101535,0,101535
9,952794253_2021,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2021,06-30-2022,92084,0,0,0,0,13405575,451714,223226,13857289
10,952794253_2020,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2020,06-30-2021,92056,0,0,0,0,13098737,679469,189639,13778206
11,952794253_2019,North County Lifeline Inc,952794253,2019,06-30-2020,92056,0,0,0,0,12446965,392396,251569,12839361
12,952794253_2018,North County Lifeline Inc,952794253,2018,06-30-2019,92056,0,0,0,0,10496439,353245,235480,10849684
13,952794253_2017,North County Lifeline Inc,952794253,2017,06-30-2018,92056,0,0,0,0,9738384,287018,207107,10025402
14,952794253_2016,North County Lifeline Inc,952794253,2016,06-30-2017,92056,0,0,0,0,7910489,269310,107107,8179799
15,952794253_2015,North County Lifeline Inc,952794253,2015,06-30-2016,92056,0,0,0,0,7008292,156226,71467,7164518
16,952794253_2014,North County Lifeline Inc,952794253,2014,06-30-2015,92056,0,0,0,0,6666125,112730,70794,6778855
17,953497926_2021,COMMUNITY RESOURCE CENTER,953497926,2021,06-30-2022,92024,0,0,114007,0,3001809,1691815,1049099,4807631
18,953497926_2020,COMMUNITY RESOURCE CENTER,953497926,2020,06-30-2021,92024,0,0,77637,0,3252755,4043651,1035391,7374043
19,953497926_2019,COMMUNITY RESOURCE CENTER,953497926,2019,06-30-2020,92024,0,0,301149,0,2338255,2490058,627749,5129462
20,953497926_2018,COMMUNITY RESOURCE CENTER,953497926,2018,06-30-2019,92024,347,0,68811,0,1526759,1422107,614244,3018024
21,953497926_2017,COMMUNITY RESOURCE CENTER,953497926,2017,06-30-2018,92024,158,0,73475,0,1305024,1827504,548988,3206161
