EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
330006089_2015,Deaf Community Services of San Diego,330006089,2015,6-30-2016,92108,3270,0,0,0,1329774,61532,0,1394576
330433314_2015,National Conflict Resolution Center,330433314,2015,6-30-2016,92101,0,0,0,0,851714,1076360,0,1928074
330433314_2016,National Conflict Resolution Center,330433314,2016,6-30-2017,92101,0,0,0,0,806892,1300903,0,2107795
330433314_2017,National Conflict Resolution Center,330433314,2017,6-30-2018,92101,0,0,0,0,1514007,1231820,0,2745827
330433314_2018,National Conflict Resolution Center,330433314,2018,6-30-2019,92101,0,0,0,0,1265617,1689439,0,2955056
330602842_2015,Association for Community Housing Solutions,330602842,2015,12-31-2015,92123,0,0,0,0,1237593,454,0,1238047
330602842_2016,Association for Community Housing Solutions,330602842,2016,12-31-2016,92123,0,0,0,0,1485908,1212,0,1487120
330602842_2017,Association for Community Housing Solutions,330602842,2017,12-31-2017,92123,0,0,0,0,1564629,1120,0,1565749
330602842_2018,Association for Community Housing Solutions,330602842,2018,12-31-2018,92123,0,0,0,0,1610341,5416,0,1615757
330602842_2019,Association for Community Housing Solutions,330602842,2019,12-31-2019,92123,0,0,0,0,1527348,8561,0,1535909
465055513_2016,Urban Street Angels,465055513,2016,12-31-2016,92101,0,0,41551,0,155681,100940,0,298172
465055513_2017,Urban Street Angels,465055513,2017,12-31-2017,92101,0,0,31109,0,26250,349708,0,407067
562613191_2015,"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2015,6-30-2016,92082,0,0,0,0,727969,1957,0,729926
562613191_2016,"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2016,6-30-2017,92082,0,0,0,0,726300,2800,0,729100
941676390_2016,California Indian Legal Services Inc.,941676390,2016,12-31-2016,92025,0,0,0,0,1562588,103148,0,1665736
941676390_2017,California Indian Legal Services Inc.,941676390,2017,12-31-2017,92025,0,0,0,0,2029571,126194,0,2155765
941676390_2018,California Indian Legal Services Inc.,941676390,2018,12-31-2018,92025,0,0,0,0,1819928,73318,0,1893246
941676390_2019,California Indian Legal Services Inc.,941676390,2019,12-31-2019,92025,0,0,0,0,1765110,174234,0,1939344
952111196_2015,"ST. PAUL'S EPISCOPAL HOME, INC.",952111196,2015,8-31-2016,92013,0,0,0,2297041,590897,894547,884493,3782485
952850121_2015,Serving Seniors,952850121,2015,6-30-2016,92101,0,0,0,0,3119195,1727053,96540,4846248
952850121_2016,Serving Seniors,952850121,2016,6-30-2017,92101,0,0,325000,0,3245708,1210887,0,4781595
