,EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
7005,,,,,12-31-2021,,,,,,,,,,459486.0833333333
7017,,,,,12-31-2020,,,,,,,,,,336729.9166666667
7621,,,,,12-31-2020,,,,,,,,,,21528.833333333332
7029,,,,,12-31-2019,,,,,,,,,,316776.3333333333
7633,,,,,12-31-2019,,,,,,,,,,23808.833333333332
1106,,,,,12-31-2018,,,,,,,,,,149587.5
7041,,,,,12-31-2018,,,,,,,,,,286135.25
7645,,,,,12-31-2018,,,,,,,,,,25067.5
1094,,,,,12-31-2017,,,,,,,,,,45063.583333333336
7053,,,,,12-31-2017,,,,,,,,,,275105.1666666667
7657,,,,,12-31-2017,,,,,,,,,,26324.75
1082,,,,,12-31-2016,,,,,,,,,,283561.3333333333
7065,,,,,12-31-2016,,,,,,,,,,238394.16666666666
7669,,,,,12-31-2016,,,,,,,,,,40590.666666666664
1070,,,,,12-31-2015,,,,,,,,,,265965.6666666667
7077,,,,,12-31-2015,,,,,,,,,,228867.25
7681,,,,,12-31-2015,,,,,,,,,,28219.083333333332
7089,,,,,12-31-2014,,,,,,,,,,224231.08333333334
7693,,,,,12-31-2014,,,,,,,,,,35758.416666666664
2330,,,,,12-31-2013,,,,,,,,,,166820.25
7101,,,,,12-31-2013,,,,,,,,,,231853.5
7705,,,,,12-31-2013,,,,,,,,,,29709.083333333332
1452,,,,,12-30-2021,,,,,,,,,,22607.583333333332
1560,,,,,12-30-2021,,,,,,,,,,726250.0
1668,,,,,12-30-2021,,,,,,,,,,150485.16666666666
1863,,,,,12-30-2021,,,,,,,,,,2189755.0
2076,,,,,12-30-2021,,,,,,,,,,133.33333333333334
2172,,,,,12-30-2021,,,,,,,,,,40120.416666666664
2340,,,,,12-30-2021,,,,,,,,,,283713.5833333333
2448,,,,,12-30-2021,,,,,,,,,,37642.833333333336
2544,,,,,12-30-2021,,,,,,,,,,1203891.6666666667
2652,,,,,12-30-2021,,,,,,,,,,192191.91666666666
2904,,,,,12-30-2021,,,,,,,,,,1156.4166666666667
3012,,,,,12-30-2021,,,,,,,,,,57997.25
3096,,,,,12-30-2021,,,,,,,,,,74728.25
3192,,,,,12-30-2021,,,,,,,,,,0.0
3516,,,,,12-30-2021,,,,,,,,,,1203029.0
3624,,,,,12-30-2021,,,,,,,,,,310377.3333333333
3720,,,,,12-30-2021,,,,,,,,,,326102.8333333333
4032,,,,,12-30-2021,,,,,,,,,,151779.5
4188,,,,,12-30-2021,,,,,,,,,,72737.91666666667
4320,,,,,12-30-2021,,,,,,,,,,1042094.4166666666
4428,,,,,12-30-2021,,,,,,,,,,31155.333333333332
4632,,,,,12-30-2021,,,,,,,,,,33384.0
4836,,,,,12-30-2021,,,,,,,,,,124316.5
4980,,,,,12-30-2021,,,,,,,,,,129427.58333333333
5316,,,,,12-30-2021,,,,,,,,,,474201.25
5640,,,,,12-30-2021,,,,,,,,,,752.0833333333334
5784,,,,,12-30-2021,,,,,,,,,,109559.0
6000,,,,,12-30-2021,,,,,,,,,,7194.5
6096,,,,,12-30-2021,,,,,,,,,,209461.33333333334
6348,,,,,12-30-2021,,,,,,,,,,53319.0
6456,,,,,12-30-2021,,,,,,,,,,29424.5
6492,,,,,12-30-2021,,,,,,,,,,76045.41666666667
6600,,,,,12-30-2021,,,,,,,,,,5991.083333333333
6660,,,,,12-30-2021,,,,,,,,,,19722.833333333332
7308,,,,,12-30-2021,,,,,,,,,,314317.8333333333
7512,,,,,12-30-2021,,,,,,,,,,2041.5
7812,,,,,12-30-2021,,,,,,,,,,584376.5
7932,,,,,12-30-2021,,,,,,,,,,7353070.833333333
1347,,,,,12-30-2020,,,,,,,,,,0.0
1464,,,,,12-30-2020,,,,,,,,,,2099.75
1572,,,,,12-30-2020,,,,,,,,,,3144000.0
1680,,,,,12-30-2020,,,,,,,,,,343440.6666666667
1875,,,,,12-30-2020,,,,,,,,,,1843451.0833333333
2088,,,,,12-30-2020,,,,,,,,,,41.666666666666664
2184,,,,,12-30-2020,,,,,,,,,,57676.166666666664
2352,,,,,12-30-2020,,,,,,,,,,382491.9166666667
2460,,,,,12-30-2020,,,,,,,,,,56622.416666666664
2556,,,,,12-30-2020,,,,,,,,,,903218.6666666666
2664,,,,,12-30-2020,,,,,,,,,,15775.583333333334
2916,,,,,12-30-2020,,,,,,,,,,1008.5
3024,,,,,12-30-2020,,,,,,,,,,10584.75
3108,,,,,12-30-2020,,,,,,,,,,110770.08333333333
3420,,,,,12-30-2020,,,,,,,,,,353944.25
3528,,,,,12-30-2020,,,,,,,,,,636988.5
3636,,,,,12-30-2020,,,,,,,,,,246920.5
3732,,,,,12-30-2020,,,,,,,,,,375933.9166666667
3828,,,,,12-30-2020,,,,,,,,,,15294.583333333334
