Train/Test,Grantor,Grantee,Program,Date,EndDate,Amount,AmendmentNumber,PreviousAmendingDate,NewAmendDate,AmendAmount,Funding Agency,Funding Source,Link to OCR'ed Document,Link to Text Doc,Entered into Sublime,Link to Tagged Documents,,,,,text_id,,,,,,,comments on testing data
Train,City of Chula Vista,Alpha Project ,Take Back the Streets,06/01/21,06/30/22,45000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1jKxi-CepX6WSSRPgfqWN1lADPGwPxdyU/view?usp=sharing,https://drive.google.com/file/d/1YoXt2iXeFFmwZGOGlQs_ay3tICuWshSo/view?usp=sharing,,,,,,,Alpha Project _Take Back the Streets_text.txt,,,,,,,
Train,City of Chula Vista,Jacobs and Cushman San Diego Food Bank,CV - Food Services,11/16/21,11/16/22,100000,,,,,,ARPA,https://drive.google.com/file/d/1fZeWl3dwpPF7ojKaFBcwHJuNVf-2auoO/view?usp=sharing,https://drive.google.com/file/d/12BLfFptlzNGXqacX21aJil_aLkjwdqME/view?usp=sharing,,,,,,,Jacobs and Cushman San Diego Food Bank_CV - Food Services_text.txt,,,,,,,
Train,City of Chula Vista,Alpha Project ,CV - Transitional Employment Services,12/07/21,12/16/22,100000,,,,,,ARPA,https://drive.google.com/file/d/17FhvcMQiU9hHvshQvJU7UJBSCILWjjp7/view?usp=sharing,https://drive.google.com/file/d/1Quk8YwhcR-nt4Lnu0YPFPe2o2De0e-go/view?usp=sharing,,,,,,,Alpha Project _CV - Transitional Employment Services_text.txt,,,,,,,
Train,City of Chula Vista,SBCS,CV - Emergency Domestic Violence Services ,04/26/22,04/26/23,200000,,,,,,ARPA,https://drive.google.com/file/d/11AA7PRZjdLV-0xNHlg4BixQoqvwc2Dui/view?usp=sharing,https://drive.google.com/file/d/1cfPhTJdlQd85a9bt9jHTUQk4NIQrtOMS/view?usp=sharing,,,,,,,SBCS_CV - Emergency Domestic Violence Services_text.txt,,,,,,,
Train,City of Chula Vista,Family Health Centers of San Diego,2021-2022 Mobile Medical Unit,06/01/21,06/30/22,30000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/13yTmGhTWYso7hbJtcOLIWDMNdSklpZ1_/view?usp=sharing,https://drive.google.com/file/d/1mCfhUF3aPwXyfUsyQJaihFfxBw6yXoSo/view?usp=sharing,,,,,,Alpha Project ,Family Health Centers of San Diego_2021-2022 Mobile Medical Unit_text.txt,,,,,,,
Train,City of Chula Vista,McAlister Institute for Treatment and Education Inc.,Work For Hope,06/01/21,06/30/22,35000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/18fiM_ylbl0L_ynwWN2aFY5qpruXuT-ei/view?usp=sharing,https://drive.google.com/file/d/1qyLDhiTkDrN6q5ATVSL2BTdzxb4u5ihw/view?usp=sharing,,,,,,Jacobs and Cushman San Diego Food Bank,McAlister Institute for Treatment and Education Inc._Work For Hope_text.txt,,,,,,,
Train,City of Chula Vista,Jacobs & Cushman San Diego Food Bank,Food 4 Kids Backpack Program,06/01/21,06/30/22,15000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/19uR9YH4eRP_hz6EdSA5cCAV1LH_iH30U/view?usp=share_link,https://drive.google.com/file/d/1AV6WrcrDBEIdt20iH9pu0UydUG-kbPZa/view?usp=share_link,,,,,,SBCS,Jacobs & Cushman San Diego Food Bank 2021-2022 Food 4 Kids Backpack Program.txt,,,,,,,
Train,City of Chula Vista,SBCS,Family Violence Treatment Program,06/01/21,06/30/22,39000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1Dp3lq_L2OIK93ipLjFwkPtqXA2LVTn1H/view?usp=share_link,https://drive.google.com/file/d/1jSED0joBLiDelnvz5W0U_jJYb3hV7wPN/view?usp=share_link,,,,,,Family Health Centers of San Diego,SBCS 2021-2022 Family Violence Treatment Program.txt,,,,,,,
Train,City of Chula Vista,SBCS,South Bay Food Program,06/01/21,06/30/22,20000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1QmKXTJoCdZJHl6kFJ2_liIjbyLUrGdV6/view?usp=sharing,https://drive.google.com/file/d/1L_w1crznUCId3ovTCEkn7HQVlJnEinkk/view?usp=share_link,,,,,,McAlister Institute for Treatment and Education Inc.,SBCS 2021-2022 South Bay Food Program.txt,,,,,,,
Train,City of Chula Vista,SBCS,Homeless Services,06/01/21,06/30/22,50000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1J69F3NHURE_iLwjfgVhqLK3Luhl9kfFN/view?usp=share_link,https://drive.google.com/file/d/1jNaFevDlZYaj5GBFsuE1RBy1uSyBJxuP/view?usp=share_link,,,,,,Jacobs & Cushman San Diego Food Bank,SBCS 2021-2022 Homeless Services.txt,,,,,,,
